order_id,customer_id,product_id,product,category,quantity,unit_price,discount,gross_sales,sales,product_cost,shipping_cost,total_cost,profit,returns,return_reason,payment_method,payment_status,customer_type,customer_value,warehouse,city,state,region,order_date,delivery_date,delivery_days,shipping_mode,delivery_status,rating,review_count
ORD001867,CUST06870,P-FUR-406,Wooden Bookshelf,furniture,3,47843.61,0,143530.83,143530.83,79085.49,409.11,79494.6,64036.23,No,,Wallet,Paid,Returning,Regular,WH-NAG,Nagpur,Maharashtra,West,29-11-2023,01-12-2023,2,Express,Delivered,3,1
ORD007157,CUST06441,P-ELE-931,Laptop, electronics ,1,56103.83,3085.71,56103.83,53018.12,42077.87,66.58,42144.45,10873.67,No,,UPI,Paid,New,Regular,WH-MUM,Mumbai,Maharashtra,West,26-04-2025,01-05-2025,5,Standard,Delivered,,0
ORD018406,CUST04459,P-BEA-829,Sunscreen Lotion,Beauty & Personal Care,1,2501.98,0,2501.98,2501.98,1348.57,47.99,1396.56,1105.42,No,,NET BANKING,Paid,Returning,Budget,WH-BEN,Bengaluru,Karnataka,South,29-01-2025,02-02-2025,4,Standard,Delivered,,0
ORD013628,CUST00399,P-BEA-519,Sunscreen Lotion,Beauty & Personal Care,2,1748.1,0,3496.2,3496.2,2055.77,113.49,2169.26,1326.94,No,, Debit Card,Paid,New,Regular,WH-AHM,Ahmedabad,Gujarat,West,16-07-2024,22-07-2024,6,Standard,Delivered,5,1
ORD020923,CUST02733,P-FUR-733,Study Table,Furniture,1,10359.05,0,10359.05,10359.05,6039.33,130.24,6169.57,4189.48,No,,Credit Card,Paid,Returning,Budget,WH-PAT,Patna,Bihar,East,22-09-2024,28-09-2024,6,Standard,Delivered,5,1
ORD007702,CUST04689,P-SPO-119,Cycling Helmet,Sports & Fitness,5,7920.58,0,39602.9,39602.9,22732.06,168.35,22900.41,16702.49,No,,Credit Card,Paid,New,Budget,WH-LUC,Lucknow,Uttar Pradesh,North,19-08-2025,20-08-2025,1,Express,Delivered,3,1
ORD018709,CUST05667,P-BEA-572,Lipstick Set,Beauty & Personal Care,2,690.79,0,1381.58,1381.58,628.62,110.52,739.14,642.44,No,,Debit Card,Paid,New,Regular,WH-BHU,Bhubaneswar,Odisha,East,26-05-2023,29-05-2023,3,Standard,Delivered,5,1
ORD004407,CUST05054,P-BOO-666,Cookbook,Books,1,1020.28,0,1020.28,1020.28,478.51,225.77,704.28,316,No,,UPI,Paid,Returning,Budget,WH-KAR,Karimnagar,Telangana,South,25-10-2024,27-10-2024,2,Express,Delivered,,0
ORD013343,CUST03065,P-BEA-193,Sunscreen Lotion,Beauty & Personal Care,6,1299.89,1201.1,7799.34,6598.24,3868.47,115.15,3983.62,2614.62,No,,net banking,Paid,Returning,Regular,WH-LUC,Lucknow,Uttar Pradesh,North,14-10-2024,18-10-2024,4,Standard,Delivered,5,1
ORD008376,CUST07807,P-BOO-138,Children's Story Book,Books,1,215.61,0,215.61,215.61,155.67,96.31,251.98,-36.37,No,,debit card,Paid,New,Premium,WH-SUR,Surat,Gujarat,West,13-05-2023,18-05-2023,5,Standard,Delivered,3,1
